movieId,title,genres
1,Toy Story (1995),Adventure|Animation|Children|Comedy|Fantasy
2,Jumanji (1995),Adventure|Children|Fantasy
3,Grumpier Old Men (1995),Comedy|Romance
4,Waiting to Exhale (1995),Comedy|Drama|Romance
5,Father of the Bride Part II (1995),Comedy
6,Heat (1995),Action|Crime|Thriller
7,Sabrina (1995),Comedy|Romance
8,Tom and Huck (1995),Adventure|Children
9,Sudden Death (1995),Action
10,GoldenEye (1995),Action|Adventure|Thriller
11,"American President, The (1995)",Comedy|Drama|Romance
12,Dracula: Dead and Loving It (1995),Comedy|Horror
13,Balto (1995),Adventure|Animation|Children
14,Nixon (1995),Drama
15,Cutthroat Island (1995),Action|Adventure|Romance
16,Casino (1995),Crime|Drama
17,Sense and Sensibility (1995),Drama|Romance
18,Four Rooms (1995),Comedy
19,Ace Ventura: When Nature Calls (1995),Comedy
20,Money Train (1995),Action|Comedy|Crime|Drama|Thriller
21,Get Shorty (1995),Comedy|Crime|Thriller
22,Copycat (1995),Crime|Drama|Horror|Mystery|Thriller
23,Assassins (1995),Action|Crime|Thriller
24,Powder (1995),Drama|Sci-Fi
25,Leaving Las Vegas (1995),Drama|Romance
26,Othello (1995),Drama
27,Now and Then (1995),Children|Drama
28,Persuasion (1995),Drama|Romance
29,"City of Lost Children, The (1995)",Adventure|Drama|Fantasy|Mystery|Sci-Fi
30,Dangerous Minds (1995),Drama
31,Twelve Monkeys (1995),Drama|Sci-Fi|Thriller
32,Babe (1995),Children|Drama
33,Dead Man Walking (1995),Crime|Drama
34,Across the Sea of Time (1995),Documentary|Short
35,It Takes Two (1995),Children|Comedy
36,Clueless (1995),Comedy|Romance
37,"Crying Game, The (1992)",Drama|Romance|Thriller
38,Richard III (1995),Drama|War
39,Dead Presidents (1995),Action|Crime|Drama
40,Restoration (1995),Drama
41,Mortal Kombat (1995),Action|Adventure|Fantasy
42,To Die For (1995),Comedy|Drama|Thriller
43,How to Make an American Quilt (1995),Drama|Romance
44,Seven (a.k.a. Se7en) (1995),Crime|Mystery|Thriller
45,Pocahontas (1995),Animation|Children|Drama|Musical|Romance
46,When Night Is Falling (1995),Drama|Romance
47,"Usual Suspects, The (1995)",Crime|Mystery|Thriller
48,Guardian Angel (1994),Action|Drama|Fantasy
49,Mighty Aphrodite (1995),Comedy|Drama|Romance
50,Lamerica (1994),Drama
